CodigoNave,NombreNave
ULHER,ULF RITSCHER
UNERT,UNI CONCERT
UNUNE,UNI FORTUNE
UNVER,UNIFOREVER
URNUS,URANUS
VADGE,VALENCIA BRIDGE
VAER,VANCOUVER
VAESS,VALPARAISO EXPRESS
VAURE,VADO LIGURE
VAVIA,VALDIVIA
VERO,MSC VERONIQUE
VIAIT,VICTORIA STRAIT
VIGLE,VIKING EAGLE
VIITY,VITALITY
VIRIA,VICTORIA
VLRNA,VLAHERNA
WA512,WAN HAI 512
WAALE,WARNOW  WHALE
WAH516,WAN HAI 516
WAHA5,WAN HAI 515
WAHA51,WAN HAI 517
WAHAI,WAN HAI
WAHE,WANHE
WANHAI,WAN HAI 513
WARN,WARNOW DOLPHIN
WASH,WASHINGTON
WAYAN,WADI ALRAYAN
WEAMM,WESTERHAMM
WEAVE,WEHR TRAVE
WECB,WEC BRUEGHEL
WEECH,WESTERDIECH
WEEK,WEHR FLOTTBEK
WEENZ,WEHR KOBLENZ
WEESE,WEHR BLANKENESE
WEICH,WESTERDEICH
WELLIN,WELLINGTON EXPRESS
WEOOR,WESTERMOOR
WESER,WEHR WESER
WHA51,WAN HAI 511
WHSEA,WHITE SEA
WHTEN,WHER NIENSTEDTEN
WIILA,WILA
XCHW,XIN CHI WAN
XFZH,XIN FU ZHOU
XIANEN,XIANXIA MEN
XINMIN,XIN MING ZHOU
XINN,XIN NING BO
XXMN,XIN XIA MEN
YEEA,YELLOW SEA
YRNE,YRENE
ZRIN,ZRIN
