CodigoNave,Viaje,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada
BOSC,511,PE,CLLO,CL,VARO,2024-04-05,2024-04-09
BOSC,519,CL,VARO,PE,CLLO,2024-05-26,2024-05-30
BOSC,519,PE,CLLO,CL,VARO,2024-05-31,2024-06-04
BOSC,519,PE,CLLO,CL,VARO,2024-06-01,2024-06-05
BOSC,527,CL,VARO,PE,CLLO,2024-07-21,2024-07-25
BOSC,527,PE,CLLO,CL,VARO,2024-07-26,2024-07-30
BOSC,3135,PA,BLBA,PA,MANO,2022-09-17,2022-09-18
BOSC,3135,PA,MANO,PE,CLLO,2022-09-18,2022-09-22
BOSC,335,CL,VARO,PE,CLLO,2022-09-19,2022-09-22
BOSC,335,PE,CLLO,CL,VARO,2022-09-23,2022-09-28
BOSC,343,DE,HBUG,PE,CLLO,2022-11-22,2022-11-26
BOSC,343,PE,CLLO,DE,HBUG,2022-11-27,2023-01-01
BOSC,856,PA,MANO,PE,CLLO,2022-08-03,2022-08-06
BOSC,856,PE,CLLO,NL,RERM,2022-08-08,2022-08-27
BOSC,872,ES,BELA,ES,VENA2,2022-10-30,2022-10-31
BOSC,872,NL,RERM,ES,BELA,2022-10-22,2022-10-30
BOSC,872,PA,MANO,PE,CLLO,2022-09-26,2022-10-01
BOSC,872,PE,CLLO,NL,RERM,2022-10-02,2022-10-21
BOTS,1303,TW,KHIG,PE,CLLO,2022-08-26,2022-10-05
CAART,11,US,PERS,PE,CLLO,2022-12-28,2023-01-06
CAART,105,BR,SNTS,PE,CLLO,2023-03-08,2023-04-19
CAART,105,PE,CLLO,BR,SNTS,2023-04-20,2023-06-01
CAART,106,PE,CLLO,US,NYOK,2023-06-03,2023-06-11
CAART,106,US,BIME,PE,CLLO,2023-05-24,2023-06-02
CAART,107,CO,BVEA,PE,CLLO,2023-07-11,2023-07-12
CAART,107,PE,CLLO,CO,BVEA,2023-07-17,2023-07-20
CAART,105,US,PERS,PE,CLLO,2023-05-09,2023-05-20
CAART,103,US,PERS,PE,CLLO,2023-02-14,2023-02-23
CAART,104,US,PERS,PE,CLLO,2023-03-27,2023-04-09
CAART,104,PE,CLLO,US,NYOK,2023-03-07,2023-03-21
CAART,104,US,NYOK,PE,CLLO,2023-02-20,2023-03-06
CAART,105,CL,VARO,AR,BSAS,2024-12-30,2025-01-04
CAART,105,PE,CLLO,US,NYOK,2023-04-21,2023-05-03
CAART,105,US,NYOK,PE,CLLO,2023-04-04,2023-04-18
CAART,106,PA,MANO,PE,CLLO,2023-06-24,2023-07-01
CAART,106,US,PERS,PA,MANO,2023-06-20,2023-06-24
CAART,107,US,PERS,PE,CLLO,2023-08-01,2023-08-11
CAART,107,PE,CLLO,US,NYOK,2023-07-17,2023-07-31
CAART,107,US,NYOK,PE,CLLO,2023-06-28,2023-07-16
CAART,108,ES,BELA,PE,CLLO,2023-06-09,2023-08-23
CAART,108,PE,CLLO,ES,BELA,2023-08-24,2023-09-23
CAART,108,BR,SNTS,PE,CLLO,2023-07-26,2023-08-23
CAART,108,PE,CLLO,US,NYOK,2023-08-24,2023-09-07
CAART,108,US,NYOK,BR,SNTS,2023-09-08,2023-09-21
CAART,103,PE,CLLO,US,NYOK,2023-01-17,2023-02-01
CAART,103,US,NYOK,PE,CLLO,2023-01-09,2023-01-16
CAART,103,PE,CLLO,US,NYOK,2023-01-27,2023-02-12
CAART,103,US,NYOK,PE,CLLO,2023-01-07,2023-01-26
CAART,103,CO,BVEA,PE,CLLO,2023-01-20,2023-01-25
CAART,103,PE,CLLO,CO,BVEA,2023-01-26,2023-01-31
CABEL,71,CL,SICE,PE,CLLO,2023-10-22,2023-10-27
CABEL,71,PE,CLLO,CL,SICE,2023-10-28,2023-11-02
CABEL,73,CO,BVEA,PE,CLLO,2023-12-15,2023-12-20
CABEL,73,PE,CLLO,CO,BVEA,2023-12-21,2023-12-25
CABEL,75,PE,CLLO,TT,POEA,2024-03-14,2024-04-05
CABEL,75,TT,POEA,PE,CLLO,2024-02-20,2024-03-13
CABEL,75,CO,BVEA,PE,CLLO,2024-03-08,2024-03-12
CABEL,75,PE,CLLO,CO,BVEA,2024-03-13,2024-03-17
CABEL,75,CL,SICE,PE,CLLO,2024-04-05,2024-04-12
CABEL,75,PE,CLLO,CL,SICE,2024-04-13,2024-04-20
CABEL,71,US,PERS,PE,CLLO,2023-10-17,2023-10-28
CABEL,72,PE,CLLO,US,NYOK,2023-11-09,2023-11-23
CABEL,72,US,NYOK,PE,CLLO,2023-10-25,2023-11-08
CACO,20,CL,SICE,PE,CLLO,2024-03-31,2024-04-14
CACO,20,PE,CLLO,CL,SICE,2024-04-15,2024-04-28
CAEX,1328,EC,GAQL,PE,CLLO,2022-07-17,2022-07-20
CAEX,1328,PE,CLLO,EC,GAQL,2022-07-21,2022-07-24
CAEX,1328,EC,GAQL,PE,CLLO,2022-07-18,2022-07-20
CAEX,1328,PE,CLLO,EC,GAQL,2022-07-21,2022-07-23
CAEX,1331,EC,GAQL,PE,CLLO,2022-08-08,2022-08-11
CAEX,1331,PE,CLLO,EC,GAQL,2022-08-11,2022-08-13
CAEX,1334,EC,GAQL,PE,CLLO,2022-08-30,2022-09-01
CAEX,1334,PE,CLLO,EC,GAQL,2022-09-01,2022-09-03
CAEX,1334,EC,GAQL,PE,CLLO,2022-08-27,2022-08-31
CAEX,1334,PE,CLLO,EC,GAQL,2022-09-01,2022-09-04
CAGAR,3231,CO,CAGA,PE,CLLO,2022-08-17,2022-08-28
CAGAR,3231,ES,BELA,CO,CAGA,2022-07-31,2022-08-17
CAGAR,4227,EC,GAQL,PE,CLLO,2023-07-27,2023-07-30
CAGAR,3239,EC,GAQL,PE,CLLO,2022-10-20,2022-10-23
CAGAR,3247,EC,GAQL,PE,CLLO,2022-12-15,2022-12-18
CAGAR,3247,ES,BLBO,EC,GAQL,2022-11-17,2022-12-15
CAGAR,4143,EC,GAQL,PE,CLLO,2023-11-16,2023-11-20
CAGAR,419,ES,BELA,PE,CLLO,2023-05-08,2023-06-05
CAGAR,419,PE,CLLO,ES,BELA,2023-06-06,2023-07-04
CAGAR,419,ES,BELA,PE,CLLO,2023-05-03,2023-06-05
CAGAR,419,PE,CLLO,ES,BELA,2023-06-07,2023-07-09
CAGAR,4203,EC,GAQL,PE,CLLO,2023-02-09,2023-02-13
CAGAR,4211,EC,GAQL,PE,CLLO,2023-04-06,2023-04-10
CAGAR,4227,DE,HBUG,PE,CLLO,2023-07-07,2023-07-31
CAGAR,4227,PE,CLLO,DE,HBUG,2023-08-01,2023-08-25
CAGAR,435,EC,GAQL,PE,CLLO,2023-09-23,2023-09-25
CAGAR,435,PE,CLLO,EC,GAQL,2023-09-26,2023-09-28
CAGAR,451,ES,VENA2,PE,CLLO,2023-12-22,2024-01-15
CAGAR,451,PE,CLLO,ES,VENA2,2024-01-16,2024-02-09
CAGO,110,CO,BVEA,PE,CLLO,2023-11-10,2023-11-14
CAGO,110,PE,CLLO,CO,BVEA,2023-11-16,2023-11-20
CAGO,112,CO,BVEA,PE,CLLO,2024-02-03,2024-02-07
CAGO,112,PE,CLLO,CO,BVEA,2024-02-08,2024-02-12
CAGO,112,PE,CLLO,US,NYOK,2024-02-08,2024-02-22
CAGO,112,US,NYOK,PE,CLLO,2024-01-24,2024-02-07
CAGU,2,KR,BSAN,PE,CLLO,2023-01-31,2023-03-07
CAGU,2,PE,CLLO,KR,BSAN,2023-03-08,2023-04-23
CAGU,2,MX,MANO1,PE,CLLO,2023-02-27,2023-03-07
CAGU,416,CN,NNGO,PE,CLLO,2023-04-18,2023-05-16
CAGU,416,CN,XAMN,CN,NNGO,2023-04-17,2023-04-17
CAGU,416,IN,NASA,CN,XAMN,2023-03-15,2023-04-15
CAGU,426,HK,HGKG,PE,CLLO,2023-06-23,2023-07-21
CAGU,1,KR,BSAN,PE,CLLO,2023-01-28,2023-02-28
CAGU,1,PE,CLLO,KR,BSAN,2023-03-01,2023-03-05
CAGU,3,MX,MANO1,PE,CLLO,2023-05-03,2023-05-11
CAGU,416,KR,BSAN,MX,MANO1,2023-05-01,2023-05-10
CAGU,416,MX,MANO1,PE,CLLO,2023-05-10,2023-05-16
CAGU,416,PE,CLLO,KR,BSAN,2023-05-17,2023-07-01
CAGU,416,KR,BSAN,PE,CLLO,2023-04-01,2023-05-16
CAGU,416,PE,CLLO,KR,BSAN,2023-05-17,2023-07-02
CALE,43,BR,SNTS,PE,CLLO,2022-08-17,2022-09-04
CALE,46,BR,SNTS,PE,CLLO,2023-01-11,2023-01-27
CALE,44,BR,SNTS,PE,CLLO,2022-10-05,2022-10-23
CALE,45,BR,SNTS,PE,CLLO,2022-11-23,2022-12-09
CALE,47,BR,SNTS,PE,CLLO,2023-03-01,2023-03-19
CALE,48,BR,SNTS,PE,CLLO,2023-04-19,2023-05-04
CALE,49,BR,SNTS,PE,CLLO,2023-06-09,2023-06-23
CALE,50,BR,SNTS,PE,CLLO,2023-07-27,2023-08-13
CALE,45,AR,BSAS,PE,CLLO,2022-12-07,2022-12-11
CALE,45,PE,CLLO,AR,BSAS,2022-12-12,2023-01-05
CALE,50,CL,AICA,PE,CLLO,2023-08-12,2023-08-13
CALE,50,PE,CLLO,CL,AICA,2023-08-14,2023-08-21
CAMAS,156,BR,SNTS,PE,CLLO,2022-12-01,2022-12-18
CAMAS,157,BR,SNTS,PE,CLLO,2023-01-18,2023-02-05
CAMAS,155,BR,SNTS,PE,CLLO,2022-10-13,2022-10-30
CAMAS,159,BR,SNTS,PE,CLLO,2023-04-26,2023-05-14
CAMAS,159,AR,BSAS,PE,CLLO,2023-03-31,2023-05-14
CAMAS,159,PE,CLLO,AR,BSAS,2023-05-15,2023-06-28
CAMAS,160,BR,SNTS,PE,CLLO,2023-06-16,2023-07-02
CAMAS,161,BR,SNTS,PE,CLLO,2023-08-03,2023-08-21
CAMAS,58,BR,SNTS,PE,CLLO,2023-03-08,2023-03-25
CAMO,33,US,PERS,PE,CLLO,2022-08-30,2022-09-09
CAMO,32,US,PERS,PE,CLLO,2022-07-19,2022-07-29
CAMO,34,US,PERS,PE,CLLO,2022-10-11,2022-10-21
CAMO,0,CL,SNTO,PE,CLLO,2022-09-16,2022-09-22
CAMO,37,US,PERS,PE,CLLO,2023-02-06,2023-02-17
CAMO,38,US,PERS,PE,CLLO,2023-03-21,2023-04-02
CAMO,35,US,PERS,PE,CLLO,2022-11-22,2022-12-02
CAMO,38,PE,CLLO,US,NYOK,2023-03-02,2023-03-16
CAMO,38,US,NYOK,PE,CLLO,2023-02-13,2023-02-27
CAMO,36,PE,CLLO,US,NYOK,2022-12-13,2022-12-27
CAMO,36,US,NYOK,PE,CLLO,2022-11-28,2022-12-12
CAMO,37,PE,CLLO,US,NYOK,2023-01-24,2023-02-08
CAMO,37,US,NYOK,PE,CLLO,2023-01-08,2023-01-23
CAMO,35,PE,CLLO,US,NYOK,2022-11-03,2022-11-16
CAMO,35,US,NYOK,PE,CLLO,2022-10-18,2022-11-02
CAMO,36,PE,CLLO,US,NYOK,2022-12-15,2022-12-29
CAMO,36,US,NYOK,PE,CLLO,2022-11-30,2022-12-14
CAOCA,66,BR,SNTS,PE,CLLO,2022-09-02,2022-09-18
CAOCA,67,BR,SNTS,PE,CLLO,2022-10-21,2022-11-06
CAOCA,68,BR,SNTS,PE,CLLO,2022-12-08,2022-12-25
CAOCA,74,AR,BSAS,PE,CLLO,2023-09-08,2023-10-16
CAOCA,74,PE,CLLO,AR,BSAS,2023-10-17,2023-11-24
CAOCA,69,BR,SNTS,PE,CLLO,2023-01-25,2023-02-11
CAOCA,71,BR,SNTS,PE,CLLO,2023-05-03,2023-05-19
CAOCA,710,BR,SNTS,PE,CLLO,2023-03-15,2023-04-02
CAOCA,72,BR,SNTS,PE,CLLO,2023-06-23,2023-07-09
CAOCA,73,BR,SNTS,PE,CLLO,2023-08-10,2023-08-28
CAOCA,74,BR,SNTS,PE,CLLO,2023-09-29,2023-10-15
CAPARN,402,IN,NASA,PE,CLLO,2023-03-15,2023-04-15
CAPARN,349,CN,NNGO,CN,SNGI,2022-12-08,2022-12-08
CAPARN,349,CN,SNGI,PE,CLLO,2022-12-08,2023-01-03
CAPARN,349,TW,KLUG,CN,NNGO,2022-12-01,2022-12-08
CAPARN,349,MX,MANO1,PE,CLLO,2022-12-29,2023-01-05
CAPARN,350,MX,MANO1,PE,CLLO,2023-03-05,2023-03-12
CAPARN,349,CL,VARO,KR,BSAN,2023-01-12,2023-02-18
CAPARN,349,CN,QGDO,PE,CLLO,2022-12-25,2023-01-03
CAPARN,349,PE,CLLO,CL,VARO,2023-01-04,2023-01-11
CAPSPE,104,PE,CLLO,US,NYOK,2023-05-25,2023-06-04
CAPSPE,104,US,NYOK,PE,CLLO,2023-05-21,2023-05-24
CAPSPE,103,US,PERS,PE,CLLO,2023-05-02,2023-05-12
CAPSPE,105,US,PERS,PE,CLLO,2023-07-25,2023-08-05
CAPSPE,104,BR,SNTS,PE,CLLO,2023-05-10,2023-05-24
CAPSPE,104,PE,CLLO,US,NYOK,2023-05-25,2023-06-08
CAPSPE,104,US,NYOK,BR,SNTS,2023-06-09,2023-07-06
CAPSPE,105,PE,CLLO,US,NYOK,2023-07-06,2023-07-20
CAPSPE,105,US,NYOK,PE,CLLO,2023-06-21,2023-07-05
CAPSPE,105,BR,SNTS,PE,CLLO,2023-06-07,2023-07-05
CAPSPE,105,PE,CLLO,BR,SNTS,2023-07-06,2023-08-03
CAPSPE,107,US,PERS,PE,CLLO,2023-10-24,2023-11-04
CASEA,546011,US,MMIL,PE,CLLO,2022-09-10,2022-10-02
CAST,257,BR,SNTS,PE,CLLO,2022-08-04,2022-08-28
CAST,267,BR,SNTS,PE,CLLO,2023-12-14,2023-12-30
CAST,269,BR,SNTS,PE,CLLO,2024-03-21,2024-04-07
CAST,260,BR,SNTS,PE,CLLO,2023-01-05,2023-01-22
CAST,258,BR,SNTS,PE,CLLO,2022-09-28,2022-10-14
CAST,259,BR,SNTS,PE,CLLO,2022-11-16,2022-12-02
CAST,261,BR,SNTS,PE,CLLO,2023-02-23,2023-03-12
CAST,262,BR,SNTS,PE,CLLO,2023-04-12,2023-04-28
CAST,263,BR,SNTS,PE,CLLO,2023-06-02,2023-06-18
CAST,264,BR,SNTS,PE,CLLO,2023-07-20,2023-08-06
CAST,266,BR,SNTS,PE,CLLO,2023-10-26,2023-11-12
CAST,268,AR,BSAS,PE,CLLO,2024-01-11,2024-02-18
CAST,268,PE,CLLO,AR,BSAS,2024-02-19,2024-03-28
CATAL,3229,EC,GAQL,PE,CLLO,2022-08-11,2022-08-15
CATAL,3237,CL,VARO,PE,CLLO,2022-09-30,2022-10-10
CATAL,3237,EC,GAQL,PE,CLLO,2022-10-06,2022-10-10
CATAL,3245,EC,GAQL,PE,CLLO,2022-12-01,2022-12-04
CATAL,4201,EC,GAQL,PE,CLLO,2023-01-26,2023-01-30
CATAL,4209,EC,GAQL,PE,CLLO,2023-03-23,2023-03-27
CATAL,4241,EC,GAQL,PE,CLLO,2023-11-02,2023-11-06
CATAL,425,ES,BELA,PE,CLLO,2023-06-14,2023-07-18
CATAL,425,PE,CLLO,ES,BELA,2023-07-20,2023-08-20
CATAL,536,ES,BELA,PE,CLLO,2023-02-22,2023-03-27
CATAL,536,PE,CLLO,ES,BELA,2023-03-28,2023-04-30
CATAR,4216,EC,GAQL,PE,CLLO,2023-05-13,2023-05-17
CATAR,3236,EC,GAQL,PE,CLLO,2022-09-29,2022-10-03
CATAR,3244,EC,GAQL,PE,CLLO,2022-11-24,2022-11-28
CATAR,3252,EC,GAQL,PE,CLLO,2023-01-19,2023-01-23
CATAR,4208,EC,GAQL,PE,CLLO,2023-03-16,2023-03-20
CATAR,534,ES,BELA,PE,CLLO,2023-02-16,2023-03-21
CATAR,534,PE,CLLO,ES,BELA,2023-03-22,2023-04-24
CATO,3232,ES,BELA,PE,CLLO,2022-07-31,2022-09-05
CATO,420,ES,BELA,PE,CLLO,2023-05-15,2023-06-11
CATO,4228,AR,BSAS,EC,GAQL,2023-07-25,2023-08-02
CATO,4228,EC,GAQL,PE,CLLO,2023-08-03,2023-08-06
CATO,3240,EC,GAQL,PE,CLLO,2022-10-27,2022-10-31
CATO,3248,EC,GAQL,PE,CLLO,2022-12-22,2022-12-26
CATO,4204,EC,GAQL,PE,CLLO,2023-02-15,2023-02-19
CATO,4212,EC,GAQL,PE,CLLO,2023-04-13,2023-04-17
CATO,4212,FR,LAVE,PE,CLLO,2023-03-09,2023-04-17
CATO,4212,PE,CLLO,FR,LAVE,2023-04-18,2023-05-27
CATO,4228,CA,MTRL,PE,CLLO,2023-07-18,2023-08-08
CATO,4228,PE,CLLO,CA,MTRL,2023-08-09,2023-08-31
CATO,4244,EC,GAQL,PE,CLLO,2023-11-23,2023-11-27
CATO,428,ES,BELA,PE,CLLO,2023-07-06,2023-08-07
CATO,428,PE,CLLO,ES,BELA,2023-08-08,2023-09-09
CATO,436,EC,GAQL,PE,CLLO,2023-09-30,2023-10-02
CATO,436,PE,CLLO,EC,GAQL,2023-10-02,2023-10-04
CATO,516,DE,HBUG,PE,CLLO,2024-04-16,2024-05-12
CATO,516,PE,CLLO,DE,HBUG,2024-05-14,2024-06-07
CATO,526,NL,RERM,PE,CLLO,2023-01-25,2023-02-18
CATO,526,PE,CLLO,NL,RERM,2023-02-21,2023-03-16
CATO,574,FR,LAVE,PE,CLLO,2023-07-06,2023-08-05
CATO,574,PE,CLLO,FR,LAVE,2023-08-06,2023-09-05
CATR,1409,EC,GAQL,PE,CLLO,2023-03-05,2023-03-08
CATR,1409,PE,CLLO,EC,GAQL,2023-03-09,2023-03-11
CATR,1418,EC,GAQL,PE,CLLO,2023-05-07,2023-05-11
CATR,1418,PE,CLLO,EC,GAQL,2023-05-11,2023-05-13
CATR,1511,US,PTLD,PE,CLLO,2024-02-24,2024-03-21
CATR,1514,EC,GAQL,PE,CLLO,2024-04-08,2024-04-11
CATR,1514,PE,CLLO,EC,GAQL,2024-04-11,2024-04-13
CATR,1337,CO,BVEA,PE,CLLO,2022-09-18,2022-09-25
CATR,1340,CO,BVEA,PE,CLLO,2022-10-09,2022-10-16
CATR,1343,CO,BVEA,PE,CLLO,2022-10-30,2022-11-04
CATR,1346,CO,BVEA,PE,CLLO,2022-11-20,2022-11-25
CATR,1349,CO,BVEA,PE,CLLO,2022-12-11,2022-12-14
CATR,1352,CO,BVEA,PE,CLLO,2023-01-01,2023-01-04
CATR,1403,CO,BVEA,PE,CLLO,2023-01-22,2023-01-25
CATR,1406,CO,BVEA,PE,CLLO,2023-02-12,2023-02-15
CATR,1409,CO,BVEA,PE,CLLO,2023-03-05,2023-03-09
CATR,1412,CO,BVEA,PE,CLLO,2023-03-26,2023-03-30
CATR,1412,EC,GAQL,PE,CLLO,2023-03-26,2023-03-29
CATR,1412,PE,CLLO,EC,GAQL,2023-03-31,2023-04-02
CATR,1415,CO,BVEA,PE,CLLO,2023-04-16,2023-04-19
CATR,1418,EC,GAQL,PE,CLLO,2023-05-09,2023-05-11
CATR,1421,EC,GAQL,PE,CLLO,2023-05-30,2023-06-01
CATR,1421,PE,CLLO,EC,GAQL,2023-06-01,2023-06-04
CATR,1424,CO,BVEA,PE,CLLO,2023-06-18,2023-06-21
CATR,1427,CO,BVEA,PE,CLLO,2023-07-09,2023-07-12
CATR,1427,EC,GAQL,MX,MANO1,2023-07-17,2023-07-20
CATR,1427,MX,MANO1,PE,CLLO,2023-06-11,2023-07-13
CATR,1427,PE,CLLO,EC,GAQL,2023-07-15,2023-07-17
CATR,1430,CO,BVEA,PE,CLLO,2023-07-30,2023-08-02
CATR,1433,CO,BVEA,PE,CLLO,2023-08-20,2023-08-24
CATR,1433,EC,GAQL,PE,CLLO,2023-08-22,2023-08-24
CATR,1433,PE,CLLO,EC,GAQL,2023-08-25,2023-08-27
CATR,1439,EC,GAQL,MX,MANO1,2023-10-08,2023-10-13
CATR,1439,MX,MANO1,PE,CLLO,2023-09-26,2023-10-04
CATR,1439,PE,CLLO,EC,GAQL,2023-10-06,2023-10-08
CATR,1502,EC,GAQL,PE,CLLO,2024-01-16,2024-01-18
CATR,1502,PE,CLLO,EC,GAQL,2024-01-19,2024-01-21
CATR,1505,EC,GAQL,PE,CLLO,2024-02-05,2024-02-07
CATR,1505,PE,CLLO,EC,GAQL,2024-02-08,2024-02-11
CATR,1508,EC,GAQL,PE,CLLO,2024-02-26,2024-02-28
CATR,1508,PE,CLLO,EC,GAQL,2024-02-29,2024-03-02
CATR,1511,EC,GAQL,PE,CLLO,2024-03-18,2024-03-21
CATR,1511,PE,CLLO,EC,GAQL,2024-03-22,2024-03-25
CATR,1514,EC,GAQL,PE,CLLO,2024-04-08,2024-04-10
CATR,1514,PE,CLLO,EC,GAQL,2024-04-11,2024-04-14
CATR,1517,EC,GAQL,PE,CLLO,2024-04-29,2024-05-01
CATR,1517,PE,CLLO,EC,GAQL,2024-05-02,2024-05-04
CATR,1520,EC,GAQL,PE,CLLO,2024-05-19,2024-05-22
CATR,1520,PE,CLLO,EC,GAQL,2024-05-23,2024-05-26
CATR,1337,EC,GAQL,PE,CLLO,2022-09-20,2022-09-22
CATR,1337,PE,CLLO,EC,GAQL,2022-09-23,2022-09-25
CATR,1337,EC,GAQL,PE,CLLO,2022-09-19,2022-09-21
CATR,1337,PE,CLLO,EC,GAQL,2022-09-22,2022-09-24
CATR,1403,EC,GAQL,PE,CLLO,2023-01-24,2023-01-26
CATR,1403,PE,CLLO,EC,GAQL,2023-01-27,2023-01-29
CATR,1523,EC,GAQL,PE,CLLO,2024-06-09,2024-06-12
CATR,1523,PE,CLLO,EC,GAQL,2024-06-13,2024-06-16
CATR,1430,EC,GAQL,MX,MANO1,2023-08-07,2023-08-10
CATR,1430,MX,MANO1,PE,CLLO,2023-08-01,2023-08-02
CATR,1430,PE,CLLO,EC,GAQL,2023-08-03,2023-08-06
CCAQ,1363,US,PERS,PE,CLLO,2022-08-16,2022-08-26
CCAQ,1364,US,PERS,PE,CLLO,2022-09-27,2022-10-19
CCAQ,364,US,PERS,PE,CLLO,2022-09-27,2022-10-07
CCAQ,1365,US,PERS,PE,CLLO,2022-11-08,2022-11-18
CCAQ,1366,US,PERS,PE,CLLO,2022-12-20,2022-12-31
CCAQ,1468,CO,BVEA,PE,CLLO,2023-02-19,2023-02-22
CCAQ,1468,PE,CLLO,CO,BVEA,2023-02-23,2023-02-26
CCAQ,1469,US,PERS,PE,CLLO,2023-04-25,2023-05-05
CCAQ,468,PE,CLLO,US,NYOK,2023-02-21,2023-03-07
CCAQ,468,US,NYOK,PE,CLLO,2023-02-06,2023-02-20
CCAQ,471,PE,CLLO,US,NYOK,2023-06-29,2023-07-13
CCAQ,471,US,NYOK,PE,CLLO,2023-06-14,2023-06-28
CCAQ,1467,PE,CLLO,US,NYOK,2023-01-26,2023-02-09
CCAQ,1467,US,NYOK,PE,CLLO,2023-01-11,2023-01-25
CCAQ,1467,US,PERS,PE,CLLO,2023-01-31,2023-02-10
CCAQ,1468,US,PERS,PE,CLLO,2023-03-14,2023-03-25
CCAQ,366,PE,CLLO,US,NYOK,2022-11-29,2022-12-27
CCAQ,366,US,NYOK,PE,CLLO,2022-10-31,2022-11-28
CCAQ,1363,PE,CLLO,BR,SNTS,2022-07-28,2022-08-25
CCAQ,1363,US,NYOK,PE,CLLO,2022-07-12,2022-07-27
CCAQ,1365,PE,CLLO,US,NYOK,2022-10-19,2022-11-02
CCAQ,1365,US,NYOK,PE,CLLO,2022-10-03,2022-10-18
CCAQ,1365,BR,SNTS,PE,CLLO,2022-10-03,2022-10-18
CCAQ,1365,PE,CLLO,BR,SNTS,2022-10-19,2022-11-14
CCAQ,1366,PE,CLLO,US,NYOK,2022-11-30,2022-12-15
CCAQ,1366,US,NYOK,PE,CLLO,2022-11-14,2022-11-29
CCAQ,363,PE,CLLO,US,NYOK,2022-07-29,2022-08-16
CCAQ,363,US,NYOK,PE,CLLO,2022-07-12,2022-07-28
CCAR,8,CL,VARO,PE,CLLO,2023-01-07,2023-01-10
CCAR,8,PE,CLLO,CL,VARO,2023-01-11,2023-01-14
CCAR,8,KR,BSAN,PE,CLLO,2022-12-09,2023-01-09
CCAR,8,PE,CLLO,KR,BSAN,2023-01-10,2023-02-11
CCAR,340,HK,HGKG,PE,CLLO,2022-09-30,2022-11-01
CCAR,9,MX,MANO1,PE,CLLO,2023-03-14,2023-03-21
CCAR,340,CN,SNGI,PE,CLLO,2022-10-06,2022-11-01
CCAR,340,CN,SEKU,CN,SNGI,2022-10-01,2022-10-06
CCAR,350,CN,SNGI,PE,CLLO,2022-12-15,2023-01-10
CCAR,350,HK,HGKG,CN,SNGI,2022-12-09,2022-12-15
CCAR,350,IN,NASA,HK,HGKG,2022-11-18,2022-12-09
CCAR,350,MX,MANO1,PE,CLLO,2023-01-04,2023-01-11
CCAR,6,CL,VARO,KR,BSAN,2022-08-30,2022-10-07
CCAR,6,CN,QGDO,PE,CLLO,2022-08-07,2022-08-22
CCAR,6,PE,CLLO,CL,VARO,2022-08-23,2022-08-29
CCAR,7,CN,QGDO,PE,CLLO,2022-10-16,2022-11-01
CCAR,7,PE,CLLO,CL,VARO,2022-11-02,2022-11-09
CCAR,7,TW,KHIG,CN,QGDO,2022-09-28,2022-10-16
CCAR,8,CN,QGDO,PE,CLLO,2022-12-31,2023-01-09
CCAR,8,PE,CLLO,CL,VARO,2023-01-10,2023-01-17
CCBI,1421,ES,BLBO,PE,CLLO,2023-11-28,2023-12-20
CCCUD,2,CN,NNGO,PE,CLLO,2023-06-20,2023-07-18
CCCUD,3,HK,HGKG,PE,CLLO,2023-08-27,2023-09-26
CCCUD,4,CN,NNGO,PE,CLLO,2023-11-08,2023-12-05
CCCUD,425,CN,SNGI,PE,CLLO,2023-06-22,2023-07-19
CCCUD,435,CN,SNGI,MX,MANO1,2023-09-01,2023-09-20
CCCUD,435,MX,MANO1,PE,CLLO,2023-09-20,2023-09-27
CCCUD,445,CN,SNGI,PE,CLLO,2023-11-09,2023-12-05
CCCUD,445,HK,HGKG,CN,SNGI,2023-11-02,2023-11-08
CCCUD,2,KR,BSAN,PE,CLLO,2023-06-04,2023-07-18
CCCUD,2,PE,CLLO,KR,BSAN,2023-07-19,2023-09-01
CCCUD,2,KR,BSAN,PE,CLLO,2023-06-05,2023-07-19
CCCUD,2,PE,CLLO,KR,BSAN,2023-07-20,2023-09-02
CCFL,113,TW,KHIG,PE,CLLO,2024-01-22,2024-02-23
CCFL,114,CN,JNGN1,PE,CLLO,2024-04-07,2024-05-21
CCFL,111,TW,KHIG,PE,CLLO,2023-10-18,2023-12-02
CCISO,471,PE,CLLO,US,NYOK,2023-06-30,2023-07-13
CCISO,471,US,NYOK,PE,CLLO,2023-06-14,2023-06-28
CCISO,1471,US,PERS,PE,CLLO,2023-07-18,2023-07-28
CCISO,1472,US,PERS,PE,CLLO,2023-08-29,2023-09-08
CCISO,1473,US,PERS,PE,CLLO,2023-10-10,2023-10-21
CCISO,1475,CL,SICE,PE,CLLO,2024-01-08,2024-01-13
CCISO,1475,PE,CLLO,CL,SICE,2024-01-13,2024-01-21
CCISO,1576,CO,BVEA,PE,CLLO,2024-01-18,2024-01-23
CCISO,1576,PE,CLLO,CO,BVEA,2024-01-25,2024-01-29
CCISO,1577,PE,CLLO,TT,POEA,2024-03-07,2024-03-29
CCISO,1577,TT,POEA,PE,CLLO,2024-02-13,2024-03-06
CCISO,472,ES,BELA,PE,CLLO,2023-07-12,2023-08-09
CCISO,472,PE,CLLO,ES,BELA,2023-08-10,2023-09-12
CCISO,473,ES,BELA,PE,CLLO,2023-08-18,2023-09-20
