CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
ANTA,3,NB,PA,BLBA,US,NWAK,2024-06-04,2024-06-18,BLB|PA,EWR|US,BLB,EWR
ANTA,3,NB,PE,CLLO,PA,BLBA,2024-05-28,2024-06-03,CLL|PE,BLB|PA,CLL,BLB
ANTA,3,NB,US,NWAK,PE,CLLO,2024-05-13,2024-05-27,EWR|US,CLL|PE,EWR,CLL
ANTA,4,N,PA,CLON1,PE,CLLO,2024-06-03,2024-06-10,ONX|PA,CLL|PE,ONX,CLL
ANTA,4,N,PE,CLLO,PA,CLON1,2024-06-11,2024-06-18,CLL|PE,ONX|PA,CLL,ONX
APLIND,46,S,US,MMIL,PE,CLLO,2024-02-28,2024-03-11,MIA|US,CLL|PE,MIA,CLL
APLIND,44,S,PA,BLBA,PE,CLLO,2023-12-12,2023-12-18,BLB|PA,CLL|PE,BLB,CLL
APLIND,45,S,CL,VARO,PE,CLLO,2023-12-23,2023-12-26,VAP|CL,CLL|PE,VAP,CLL
APLIND,46,E,PA,BLBA,PE,CLLO,2024-03-05,2024-03-11,BLB|PA,CLL|PE,BLB,CLL
APLIND,39,S LUE,CL,VARO,PE,CLLO,2023-05-10,2023-05-21,VAP|CL,CLL|PE,VAP,CLL
APLIND,39,S LUE,PE,CLLO,CL,VARO,2023-05-22,2023-05-26,CLL|PE,VAP|CL,CLL,VAP
APLIND,39,SB,CO,BVEA,PE,CLLO,2023-05-18,2023-05-22,BUN|CO,CLL|PE,BUN,CLL
APLIND,39,SB,PA,BLBA,CO,BVEA,2023-05-16,2023-05-18,BLB|PA,BUN|CO,BLB,BUN
APLIND,40,NB,PA,BLBA,PE,CLLO,2023-05-10,2023-05-16,BLB|PA,CLL|PE,BLB,CLL
APLIND,40,NB,PE,CLLO,PA,BLBA,2023-05-17,2023-05-23,CLL|PE,BLB|PA,CLL,BLB
APLIND,40,S,CL,VARO,PE,CLLO,2023-06-29,2023-07-03,VAP|CL,CLL|PE,VAP,CLL
APLIND,40,S,PE,CLLO,CL,VARO,2023-07-05,2023-07-08,CLL|PE,VAP|CL,CLL,VAP
APLIND,41,S,PA,BLBA,PE,CLLO,2023-08-08,2023-08-14,BLB|PA,CLL|PE,BLB,CLL
APLIND,41,N,CO,BVEA,PE,CLLO,2023-07-08,2023-07-12,BUN|CO,CLL|PE,BUN,CLL
APLIND,41,N,PE,CLLO,CO,BVEA,2023-07-13,2023-07-17,CLL|PE,BUN|CO,CLL,BUN
APLIND,42,NB,PA,BLBA,PE,CLLO,2023-08-17,2023-08-22,BLB|PA,CLL|PE,BLB,CLL
APLIND,42,NB,PE,CLLO,PA,BLBA,2023-08-23,2023-08-28,CLL|PE,BLB|PA,CLL,BLB
APLIND,42,S,CL,VARO,PE,CLLO,2023-09-21,2023-09-25,VAP|CL,CLL|PE,VAP,CLL
APLIND,42,S,PE,CLLO,CL,VARO,2023-09-26,2023-09-30,CLL|PE,VAP|CL,CLL,VAP
APLIND,42,S,PA,BLBA,PE,CLLO,2023-09-19,2023-09-25,BLB|PA,CLL|PE,BLB,CLL
APLIND,42,S,US,MMIL,PA,BLBA,2023-09-08,2023-09-18,MIA|US,BLB|PA,MIA,BLB
APLIND,43,NB,PA,BLBA,PE,CLLO,2023-09-28,2023-10-03,BLB|PA,CLL|PE,BLB,CLL
APLIND,43,NB,PE,CLLO,PA,BLBA,2023-10-04,2023-10-09,CLL|PE,BLB|PA,CLL,BLB
APLIND,46,NB,PA,BLBA,PE,CLLO,2024-01-31,2024-02-06,BLB|PA,CLL|PE,BLB,CLL
APLIND,46,NB,PE,CLLO,PA,BLBA,2024-02-07,2024-02-12,CLL|PE,BLB|PA,CLL,BLB
APLIND,47,NB,PA,BLBA,US,NWAK,2024-03-25,2024-04-01,BLB|PA,EWR|US,BLB,EWR
