CodigoPuerto,CodigoPais,TipoTransporte,EsPuertoLocal,NombrePuerto
CAGL,US,M,0,CHICAGO IL
CESC,US,M,0,CHARLESTON SC
CIEI,IT,M,0,CHIETI
CINO,NI,M,0,CORINTO
CADL,ES,M,0,CIUDAD REAL
CIXI,CN,M,0,CIXI
CBAE,IN,M,0,COIMBATORE
CGQG,CN,M,0,CHONGQING
CAKY,GN,M,0,CONAKRY
ARTO,PE,A,1,AEROPUERTO CALLAO
CLAH,US,A,0,"CLEVELAND, OH"
CLLO,PE,M,1,CALLAO
CALI,CO,A,0,CALI
CLOE,US,A,0,CHARLOTTE
CLAA,MX,M,0,CELAYA
COMO,LK,M,0,COLOMBO
CBUH,US,M,0,"COLUMBUS, OH"
CNGE,CN,M,0,CHENG DE
COBO,IT,M,0,CAMPOBASSO
CCHN,IN,M,0,COCHIN
CLON,AR,M,0,COLON
CLIA,MX,M,0,COLIMA
CONU,BJ,M,0,COTONOU
CDOA,AR,A,0,CORDOBA
CTBS,DE,M,0,COTTBUS
COZU,CN,M,0,CHAOZHOU
CGPG,CN,M,0,CHANGPING
CNHN,DK,M,0,COPENHAGEN
CETN,ZA,A,0,CAPE TOWN
CMOA,IT,M,0,CREMONA
COTC,US,M,0,CHARLOTTE NC
CTEN,ES,M,0,CASTEJON
CTRS,LC,M,0,CASTRIES
COSO,PA,M,0,COCO SOLO
CERA,IT,M,0,CASERTA
CNGA,CN,M,0,CHANGSHA
CANA,IT,M,0,CATANIA
CTOL,PA,M,0,CRISTOBAL
CAGA,CO,M,0,CARTAGENA
CISA,IT,M,0,CALTANISSETTA
CNGU1,CN,M,0,CHENGDU
CENA,ES,M,0,CUENCA
CIAN,MX,M,0,CULIACAN
CNEO,IT,M,0,CUNEO
CVEA,IT,M,0,CIVITAVECCHIA
CIWN,CN,M,0,CHIWAN
COYG,CN,M,0,CHAOYANG
CANE,DZ,M,0,CONSTANTINE
CGZU,CN,M,0,CANGZHOU
CGZU1,CN,M,0,CHANGZHOU
DGAG,CN,M,0,DAGANG
DAKA,BD,M,0,DHAKA
DNAG,VN,M,0,DANANG
DLAX,US,M,0,DALLAS TX
DSTT,DE,M,0,DARMSTADT
DTOG,CN,M,0,DATONG
DXIN,CN,M,0,DAXIAN
DANY,CN,M,0,DA CHAN BAY
DDOG,CN,M,0,DANDONG
DLHI,IN,A,0,DELHI
DLLS,US,A,0,DALLAS
DGGN,CN,M,0,DONGGUAN
DGTI,CN,M,0,DONGTAI
DGUE,PH,M,0,DUMAGUETE
DJON,FR,M,0,DIJON
DKAR,SN,M,0,DAKAR
DUAA,CM,M,0,DOUALA
DLIN,CN,M,0,DALIAN
DOHA,QA,M,0,DOHA
DUMN,CN,M,0,DOUMEN
DQIG,CN,M,0,DAQING
DSDN,DE,M,0,DRESDEN
DRWN,AU,M,0,DARWIN
DRRS,AL,M,0,DURRES
DTMD,DE,M,0,DORTMUND
DROT,US,A,0,DETROIT
