CodigoPuerto,CodigoPais,TipoTransporte,EsPuertoLocal,NombrePuerto
PEEE,PF,M,0,PAPEETE
PENE1,IT,M,0,PORDENONE
PAGE,CZ,M,0,PRAGUE
PQUL,GT,M,0,PUERTO QUETZAL
PISA,IT,M,0,PISA
PTSD,EG,M,0,PORT SAID
PCAA,IT,M,0,PESCARA
PCAA1,CR,M,0,PUERTO CALDERA
PHTA,IL,M,0,PETAH TIQWA
PTLS,TT,M,0,POINT LISAS
PMAY,PA,A,0,PANAMA CITY
PARS,CL,M,0,PUNTA ARENAS
BSAN,KR,M,0,BUSAN
PTIN,CN,M,0,PUTIAN
PNYU,CN,M,0,PANYU
PSUN,SD,M,0,PORT SUDAN
CENA1,IT,M,0,COSENZA
CNZO,IT,M,0,CATANZARO
QGXN,CN,M,0,QINGXIAN
MBAE1,SZ,M,0,MBABANE
NORO,IT,M,0,NUORO
QNGU,CN,M,0,QINGPU
QETO,MX,M,0,QUERETARO
QUFU,CN,M,0,QU FU
QZHU,CN,M,0,QUZHOU
RDES,DK,M,0,RANDERS
RENA,IT,M,0,RAVENNA
RTOA,CK,M,0,RAROTONGA
RUMA,FI,M,0,RAUMA
RCIE,BR,A,0,RECIFE
RNGN,DE,M,0,RECKLINGHAUSEN
RCHD,DE,M,0,REMSCHEID
RNSG,DE,M,0,REGENSBURG
RCAA,IT,M,0,REGGIO CALABRIA
ROVT,IL,M,0,REHOVOT
RJAK,IS,M,0,REYKJAVIK
RJAO1,BR,A,0,RIO DE JANEIRO
RIGA,LV,M,0,RIGA
RLEN,IL,M,0,RISHON LETSIYON
RMII,IT,M,0,RIMINI
RCHG,CN,M,0,RONGCHENG
RNGI,CN,M,0,RONGQI
KROR,PW,M,0,KOROR
RORA,NZ,M,0,ROTORUA
RSHN,CN,M,0,RUSHAN
RTOK,DE,M,0,ROSTOCK
RERM,NL,M,0,ROTTERDAM
RGAO,CN,M,0,RUGAO
RNII,FI,M,0,ROVANIEMI
RVIO,IT,M,0,ROVIGO
RLPI,PK,M,0,RAWALPINDI
RZHO,CN,M,0,RI ZHAO
SGCG,CN,M,0,SHUANGCHENG
STCY,EG,M,0,SADAT CITY
SEFD,NO,M,0,SANDEFJORD
SNTO,CL,M,0,SAN ANTONIO 
SERO,IT,M,0,SALERNO
SLVR,SV,A,0,SAN SALVADOR
SAMA,CV,M,0,SANTA MARIA
SIEA,US,M,0,SAN DIEGO CA
SNTO1,VU,M,0,SANTO
SDRA,HN,M,0,SAN PEDRO SULA
SGIR,DE,M,0,SALZGITTER
SDNS,NO,M,0,SANDNES
SNTO2,US,M,0,SAN ANTONIO
SNAA,US,M,0,"Savannah, GA"
SNBU,CN,M,0,SANBU
STIO,CL,A,0,SANTIAGO
SODE,CL,M,0,SANTIAGO DE CHILE
SIDG,CN,M,0,SHUIDONG
SDOO,DO,A,0,SANTO DOMINGO
SANR,ES,M,0,SANTANDER
SOVA,ES,M,0,SEGOVIA
SOUL,KR,M,0,SEOUL
SFAX,TN,M,0,SFAX
SANO,US,A,0,SAN FRANCISCO
SISL,BR,M,0,SAO FRANCISCO DO SUL
HINY,VN,M,0,HO CHI MINH CITY
SNGU,CN,M,0,SHANGYU
SNGI,CN,A,0,SHANGHAI
SIDO,CN,M,0,SHIDAO
SNYG,CN,M,0,SHENYANG
SAIN,CN,M,0,SHANHAIGUAN
SRJH,AE,M,0,SHARJAH
SEKU,CN,M,0,SHEKOU
SNOI,JP,M,0,SHIMONOSEKI
SNES,PT,M,0,SINES
SHUI,CN,M,0,SIHUI
SAPE,SG,A,0,SINGAPORE
SACA,IT,M,0,SIRACUSA
SEDO,MX,A,0,SAN JOSE DE CABO
SJOE,CR,A,0,SAN JOSE
SJUN,PR,M,0,SAN JUAN
TALI,GR,M,0,THESSALONIKI
SIKU,CN,M,0,SHUIKOU
SKAA,JP,M,0,SAKATA
SLKT,PK,M,0,SIALKOT
SAKY,US,A,0,SALT LAKE CITY
SMAA,ES,M,0,SALAMANCA
SSPI,MX,M,0,SAN LUIS POTOSI
SMIO,JP,M,0,SAKAIMINATO
SMIU,JP,M,0,SHIMIZU
SDRO,IT,M,0,SONDRIO
SNSU,CN,M,0,SANSHU
6CTR,EG,M,0,6TH OCTOBER
SFIA,BG,M,0,SOFIA
SINN,DE,M,0,SOLINGEN
SRIA,ES,M,0,SORIA
SAMN,GB,M,0,SOUTHAMPTON
LPEA,IT,M,0,LA SPEZIA
SPIG,CN,M,0,SIPING
SIPN,MP,M,0,SAIPAN
SPEO,US,M,0,SAN PEDRO
SACZ,BO,M,0,SANTA CRUZ
SVAR,BR,M,0,SALVADOR
NILR,GE,M,0,NO UTILIZAR
MLAO,GQ,M,0,MALABO
SNTS,BR,M,0,SANTOS
SKHM,SE,M,0,STOCKHOLM
STGT,DE,M,0,STUTTGART
SOTS,GT,M,0,SANTO TOMAS
SABA,ID,M,0,SURABAYA
SUNE,CN,M,0,SHUNDE
SUNI,CN,M,0,SHUNYI
SUSE,TN,M,0,SOUSSE
SUVA,FJ,M,0,SUVA
SZBH,DE,M,0,SULZBACH
SICE,CL,M,0,SAN VICENTE
SANR1,NO,M,0,STAVANGER
SVOW,RU,A,0,SHEREMETYEVO APT/MOSCOW
SILA,ES,M,0,SEVILLA
SNTU,CN,M,0,SHANTOU
SWEN,DE,M,0,SCHWERIN
SSBG,FR,M,0,STRASBOURG
SDNY,AU,M,0,SYDNEY
SIYN,CN,M,0,SHIYAN
SZBG,AT,M,0,SALZBURG
SZHU,CN,M,0,SUZHOU
SNZN,CN,A,0,SHENZHEN
SZEN,PL,M,0,SZCZECIN
TASN,US,M,0,"TACOMA, WASHINGTON"
TCAG,CN,M,0,TAICANG
TMAU,JP,M,0,TAKAMATSU
TAHO,CL,M,0,TALCAHUANO
QGDO,CN,M,0,QINGDAO
TPIG,CN,M,0,TAIPING
TAGA,ES,M,0,TARRAGONA
TANO,IT,M,0,TARANTO
TRTU,EE,M,0,TARTU
NALA,TO,M,0,NUKUALOFA
TEMA,GH,M,0,TEMA
TRAO,IT,M,0,TERAMO
TRUL,ES,M,0,TERUEL
TRNI,IT,M,0,TERNI
SARG,ID,M,0,SEMARANG
TGHA,CN,M,0,TONGHUA
TIGA,HN,A,0,TEGUCIGALPA
TNHA,VN,M,0,THANH HOA
TEST,GB,M,0,THAMESPORT
THAI,JP,M,0,TOYOHASHI
TRAA,AL,M,0,TIRANA
TNTI,CN,M,0,TIANTAI
TLIG,CN,M,0,TIELING
TBUY,GB,M,0,TILBURY
TPOI,LY,M,0,TRIPOLI
TMAU1,NZ,M,0,TIMARU
TZHU,CN,M,0,TAIZHOU
TSHA,JP,M,0,TOKUSHIMA
TBUG,NL,M,0,TILBURG
TLIN,EE,M,0,TALLINN
TMCN,DZ,M,0,TLEMCEN
TLOE,FR,A,0,TOULOUSE
TAVV,IL,M,0,TEL AVIV
TYUN,CN,M,0,TAIYUAN
TKOI,JP,M,0,TOMAKOMAI
TULS,MX,M,0,TAMAULIPAS
JNAN,CN,M,0,JINAN
TLEO,ES,M,0,TOLEDO
TNGU,CN,M,0,TONGLU
TONO,CA,M,0,TORONTO
TASO,JP,M,0,TOYAMASHINKO
TYAA,JP,M,0,TOYAMA
TIPI,TW,A,0,TAIPEI
1AMN,EG,M,0,10TH RAMADAN
TDHM,NO,M,0,TRONDHEIM
TRUA,JP,M,0,TSURUGA
TRAA1,NZ,M,0,TAURANGA
TRIO,IT,M,0,TORINO
TESE,IT,M,0,TRIESTE
TENO,IT,M,0,TRENTO
TVIO,IT,M,0,TREVISO
TRAA2,KI,M,0,TARAWA
TNJN,CN,A,0,TIANJIN
TNIS,TN,M,0,TUNIS
TEW),IN,M,0,TUTICORIN (NEW TUTICORIN)
TCHG,TW,M,0,TAICHUNG
BN-L,DE,A,0,BERLIN - TEGEL
TXIG,CN,M,0,TONGXIANG
TYUN1,CN,M,0,TAOYUAN
TKYO,JP,M,0,TOKYO
UINE,IT,M,0,UDINE
QNHN,VN,M,0,QUI NHON
QITO,EC,A,0,QUITO
KOBE,JP,M,0,KOBE
ULMX,DE,M,0,ULM
TALY,AI,M,0,THE VALLEY
VOUR,CA,M,0,VANCOUVER
VARO,CL,M,0,VALPARAISO
VRNA,BG,M,0,VARNA
VREE,IT,M,0,VARESE
CNTO,VN,M,0,CAN THO
VCOS,BR,A,0,VIRACOPOS
VLIE,IT,M,0,VADO LIGURE
VACZ,MX,M,0,VERACRUZ
VIGO,ES,M,0,VIGO
VENA,IT,M,0,VICENZA
VENA1,AU,M,0,VIENA
VERO,IT,M,0,VITERBO
VENA2,ES,A,0,VALENCIA
PTVA,VU,M,0,PORT VILA
VADD,ES,M,0,VALLADOLID
VNIS,LT,M,0,VILNIUS
VKAS,FI,M,0,VARKAUS
VCEI,IT,M,0,VERCELLI
VROA,IT,M,0,VERONA
VGTU,VN,M,0,VUNG TAU
VVOK,RU,M,0,VLADIVOSTOK
WNGN,CN,M,0,WAFANGDIAN
WAYA,JP,M,0,WAKAYAMA
WNZI,CN,M,0,WANZAI
WDEG,CN,M,0,WENDENG
WUHU,CN,M,0,WUHU
WBAN,DE,M,0,WIESBADEN
WEMD,CB,M,0,WILLEMSTAD
WINN,NZ,M,0,WELLINGTON
WNIG,CA,M,0,Winnipeg
WZHU,CN,M,0,WENZHOU
WSBG,DE,M,0,WOLFSBURG
WGAI,NZ,M,0,WHANGAREI
WHAN,CN,M,0,WUHAN
WSOG,CN,M,0,WUSONG
WZHU1,CN,M,0,WUZHOU
WWAK,PG,M,0,WEWAK
XNGN,CN,M,0,XIANGFAN
XANN,CN,M,0,"XINGANG, CN"
JIXI,CN,M,0,JIXI
XNHI,CN,M,0,XINHUI
XOSN,CN,M,0,XIAOSHAN
XTAG,CN,M,0,XINTANG
XAMN,CN,M,0,XIAMEN
XGSN,CN,M,0,XIANGSHAN
XZHU,CN,M,0,XUZHOU
XGZU,CN,M,0,XIANGZHOU
YUSO,JP,M,0,YATSUSHIRO
LBEH,US,M,0,LONG BEACH
YCHG,CN,M,0,YANCHENG
YGKU,CN,M,0,YINGKOU
YIWU,CN,M,0,YIWU
YXIG,CN,M,0,YIXING
YAII,JP,M,0,YOKKAICHI
YNTI,CN,M,0,YANTAI
YOHA,JP,M,0,YOKOHAMA
YYAO,CN,M,0,YUYAO
YTIN,CN,M,0,YANTIAN
YCHG1,CN,M,0,YUNCHENG
YGZU,CN,M,0,YANGZHOU
ZGRB,HR,M,0,ZAGREB
ZANE,CN,M,0,ZHUANGHE
ZOAA,PH,M,0,ZAMBOANGA
ZAGA,ES,M,0,ZARAGOZA
LEDS,GB,M,0,LEEDS
MCAA,IT,M,0,MASSA CARRARA
ZJIG,CN,M,0,ZHENJIANG
ZIBO,CN,M,0,ZIBO
ZJIU,CN,M,0,ZHANGJIAKOU
ZJIG1,CN,M,0,ZHANGJIAGANG
MANO1,MX,M,0,MANZANILLO
ZMOA,ES,M,0,ZAMORA
ZUSN,CN,M,0,ZHOUSHAN
ZOQG,CN,M,0,ZHAOQING
ZRIH,CH,A,0,ZURICH
ZGSN,CN,M,0,ZHONGSHAN
ZUHI,CN,M,0,ZHUHAI
ZCKU,DE,M,0,ZWICKAU
XGAG,CN,M,0,XINGANG
ZGZU,CN,M,0,ZHANGZHOU
