CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
BELA1,IT,BIELLA,M,0,BIELLA,BIE
BZHU,CN,BINZHOU,M,0,BIN ZHOU,BIN
BLBO,ES,BILBAO,A,0,BILBAO,BIO
BNGL,US,BIRMINGHAMAL,M,0,BIRMINGHAM AL,BIR
BJAA,DZ,BEJAIA,M,0,BEJAIA,BJA
BNJL,GM,BANJUL,M,0,BANJUL,BJL
BJIO,CN,BEIJIAO,M,0,BEIJIAO,BJO
BJIG,CN,BEIJING,M,0,BEIJING,BJS
BOJI,CN,BAOJI,M,0,BAO JI,BJX
BAJZ,ES,BADAJOZ,M,0,BADAJOZ,BJZ
BGKK,TH,BANGKOK,A,0,BANGKOK,BKK
BMAO,ML,BAMAKO,M,0,BAMAKO,BKO
BLBA,PA,BALBOA,M,0,BALBOA,BLB
BOGA,IT,BOLOGNA,M,0,BOLOGNA,BLQ
BALE,IN,BANGALORE,M,0,BANGALORE,BLR
BAWN,ID,BELAWAN,M,0,BELAWAN,BLW
BLUO,IT,BELLUNO,M,0,BELLUNO,BLX
BNTE,MW,BLANTYRE,M,0,BLANTYRE,BLZ
BSBE,AU,BRISBANE,M,0,BRISBANE,BNE
BDEX,FR,BORDEAUX,M,0,BORDEAUX,BOD
BGOA,CO,BOGOTA,A,0,BOGOTA,BOG
BRGS,BG,BURGAS,M,0,BURGAS,BOJ
BCHM,DE,BOCHUM,M,0,BOCHUM,BOM
MMBI,IN,MUMBAI,M,0,MUMBAI,BOM
BNNY,DE,BONNY,M,0,BONNY,BON
BRAS,SE,BORAS,M,0,BORAS,BOS
BSTN,US,BOSTON,A,0,BOSTON,BOS
BTRP,DE,BOTTROP,M,0,BOTTROP,BOT
BKPN,ID,BALIKPAPAN,M,0,BALIKPAPAN,BPN
BSCA,IT,BRESCIA,M,0,BRESCIA,BRC
BEMN,DE,BREMEN,A,0,BREMEN,BRE
BARI,IT,BARI,M,0,BARI,BRI
BERN,CH,BERN,M,0,BERN,BRN
BVIX,US,"BROWNSVILLE,TX",M,0,"BROWNSVILLE, TX",BRO
BRNO,CZ,BRNO,M,0,BRNO,BRQ
BSTL,GB,BRISTOL,M,0,BRISTOL,BRS
BSSL,BE,BRUSSEL,A,0,BRUSSEL,BRU
BRHN,DE,BREMERHAVEN,M,0,BREMERHAVEN,BRV
BATA,GE,BATA,M,0,BATA,BSG
BSEL,CH,BASEL,M,0,BASEL,BSL
BSRA,IQ,BASRA,M,0,BASRA,BSR
BTAM,ID,BATAM,M,0,BATAM,BTH
BTUU,MY,BINTULU,M,0,BINTULU,BTU
